Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Population2010,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002000,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.9,,,4.5,5.4,"1,047","(32.3197192007, -90.2062608176)",HLTHOUT,KIDNEY,2836000,28049002000,Chronic Kidney Disease
2014,MS,Mississippi,Jackson,City,BRFSS,Health Outcomes,2836000,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.3,,,14.1,14.4,"173,514","(32.31627222, -90.2124528561)",HLTHOUT,DIABETES,2836000,,Diabetes
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011101,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,75.9,,,71.9,79.3,"2,827","(32.2470923241, -90.2706288247)",PREVENT,MAMMOUSE,2836000,28049011101,Mammography
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19,,,16.5,21.7,"3,931","(32.2626920049, -90.2228454457)",HLTHOUT,MHLTH,2836000,28049003500,Mental Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011400,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,35.2,,,29.4,41.3,"1,272","(32.3113779365, -90.1880062695)",PREVENT,ACCESS2,2836000,28049011400,Health Insurance
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002100,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,73.7,,,69.5,77.6,"3,257","(32.3151937739, -90.2240153221)",PREVENT,PAPTEST,2836000,28049002100,Pap Smear Test
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002100,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.6,,,5.8,7.4,"3,257","(32.3151937739, -90.2240153221)",HLTHOUT,STROKE,2836000,28049002100,Stroke
2014,MS,Mississippi,Jackson,City,BRFSS,Health Outcomes,2836000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.8,,,4.7,4.9,"173,514","(32.31627222, -90.2124528561)",HLTHOUT,STROKE,2836000,,Stroke
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010202,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,77.7,,,75.4,79.9,"6,137","(32.3844840557, -90.1837056957)",PREVENT,CHOLSCREEN,2836000,28049010202,Cholesterol Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000301,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.3,,,10.5,12,"2,637","(32.3665228128, -90.1634025553)",UNHBEH,BINGE,2836000,28049000301,Binge Drinking
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.2,,,17.8,20.7,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,DIABETES,2836000,28049000500,Diabetes
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011400,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,71.6,,,68.7,74.4,"1,272","(32.3113779365, -90.1880062695)",PREVENT,CHOLSCREEN,2836000,28049011400,Cholesterol Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003200,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,24.7,,,21.2,28.1,"1,586","(32.2940043377, -90.2226483173)",PREVENT,COREW,2836000,28049003200,Core preventive services for older women
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000100,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.6,,,7.2,8,"4,584","(32.3760966125, -90.1333490224)",HLTHOUT,CANCER,2836000,28049000100,Cancer (except skin)
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010101,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,12.3,,,7.7,18.5,"6,121","(32.3885604745, -90.1001598448)",HLTHOUT,TEETHLOST,2836000,28049010101,Teeth Loss
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002500,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.8,,,24.5,30.8,"2,388","(32.308201226, -90.2084021164)",UNHBEH,CSMOKING,2836000,28049002500,Current Smoking
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001900,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.7,,,10.9,12.5,"1,950","(32.3199223985, -90.1980304796)",HLTHOUT,CASTHMA,2836000,28049001900,Current Asthma
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010201,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,48.3,,,43.6,53.1,"3,250","(32.3857261753, -90.161721287)",PREVENT,DENTAL,2836000,28049010201,Dental Visit
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001600,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,34.6,,,33.4,36,"3,886","(32.3149024406, -90.1794376322)",HLTHOUT,HIGHCHOL,2836000,28049001600,High Cholesterol
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,50.6,,,48.9,52.2,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,BPHIGH,2836000,28049000500,High Blood Pressure
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010808,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,34.1,,,29.5,38.8,"4,494","(32.2679492554, -90.297683472)",PREVENT,COREM,2836000,28049010808,Core preventive services for older men
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010901,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,44.5,,,39.7,49.2,"2,764","(32.3245803396, -90.2730968105)",PREVENT,DENTAL,2836000,28049010901,Dental Visit
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003300,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,31.5,,,26.3,37,"6,508","(32.2812612493, -90.2392578521)",PREVENT,ACCESS2,2836000,28049003300,Health Insurance
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.1,,,6.9,9.5,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,COPD,2836000,28049000500,COPD
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001000,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,76.6,,,72.8,80.6,"1,509","(32.3305746651, -90.2089575618)",PREVENT,PAPTEST,2836000,28049001000,Pap Smear Test
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000800,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.9,,,67.2,72.2,"4,483","(32.3401797646, -90.2268185213)",PREVENT,CHOLSCREEN,2836000,28049000800,Cholesterol Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002400,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,36.6,,,32,40.8,"4,565","(32.3034428694, -90.2303837936)",UNHBEH,LPA,2836000,28049002400,Physical Inactivity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001400,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,28.2,,,26.8,29.7,"3,076","(32.3400347421, -90.1387066293)",HLTHOUT,ARTHRITIS,2836000,28049001400,Arthritis
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002500,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.6,,,5.1,6.1,"2,388","(32.308201226, -90.2084021164)",HLTHOUT,STROKE,2836000,28049002500,Stroke
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28089030105,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.5,,,13.3,17.8,622,"(32.4055231258, -90.1578816308)",UNHBEH,BINGE,2836000,28089030105,Binge Drinking
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011001,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,76.4,,,75.3,77.4,"5,718","(32.2820671233, -90.2675496365)",PREVENT,CHECKUP,2836000,28049011001,Annual Checkup
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010500,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,57.4,,,52.3,61.6,77,"(32.3891051587, -90.2686162692)",PREVENT,COLON_SCREEN,2836000,28049010500,Colorectal Cancer Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28121020207,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,*,Estimates suppressed for population less than 50,,,1,"(32.2959128998, -90.0677891779)",HLTHOUT,DIABETES,2836000,28121020207,Diabetes
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002700,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,45.6,,,44,47.1,"1,377","(32.2960209234, -90.1767733078)",UNHBEH,SLEEP,2836000,28049002700,Sleep <7 hours
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,80.4,,,79.2,81.6,"1,604","(32.3096172571, -90.2991097228)",PREVENT,BPMED,2836000,28049010801,Taking BP Medication
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011101,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,18.3,,,13,24,"2,827","(32.2470923241, -90.2706288247)",HLTHOUT,TEETHLOST,2836000,28049011101,Teeth Loss
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002300,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.1,,,17.6,22.8,"2,518","(32.3146727051, -90.2454096274)",HLTHOUT,MHLTH,2836000,28049002300,Mental Health
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000500,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,73.9,,,71.2,76.4,"6,041","(32.3607883236, -90.1824183353)",PREVENT,CHOLSCREEN,2836000,28049000500,Cholesterol Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002400,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.4,,,14.1,18.8,"4,565","(32.3034428694, -90.2303837936)",HLTHOUT,PHLTH,2836000,28049002400,Physical Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,24.2,,,19.7,28.9,"1,047","(32.3197192007, -90.2062608176)",PREVENT,COREM,2836000,28049002000,Core preventive services for older men
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,32.5,,,31,33.9,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,ARTHRITIS,2836000,28049000500,Arthritis
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049011001,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,36.2,,,33,39.3,"5,718","(32.2820671233, -90.2675496365)",UNHBEH,LPA,2836000,28049011001,Physical Inactivity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003400,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,22.2,,,18.6,26.1,"3,832","(32.2808856068, -90.2219754256)",PREVENT,COREW,2836000,28049003400,Core preventive services for older women
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000301,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,36.5,,,32.3,40.7,"2,637","(32.3665228128, -90.1634025553)",UNHBEH,LPA,2836000,28049000301,Physical Inactivity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003600,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.9,,,3.5,4.3,"3,952","(32.2631259622, -90.2457588861)",HLTHOUT,STROKE,2836000,28049003600,Stroke
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002300,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.1,,,9.4,10.8,"2,518","(32.3146727051, -90.2454096274)",UNHBEH,BINGE,2836000,28049002300,Binge Drinking
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000800,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,49,,,47.3,50.6,"4,483","(32.3401797646, -90.2268185213)",UNHBEH,SLEEP,2836000,28049000800,Sleep <7 hours
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28121020207,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,*,Estimates suppressed for population less than 50,,,1,"(32.2959128998, -90.0677891779)",HLTHOUT,CANCER,2836000,28121020207,Cancer (except skin)
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003300,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,37.3,,,35.6,39.2,"6,508","(32.2812612493, -90.2392578521)",HLTHOUT,HIGHCHOL,2836000,28049003300,High Cholesterol
2014,MS,Mississippi,Jackson,City,BRFSS,Prevention,2836000,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,25,,,24.4,25.6,"173,514","(32.31627222, -90.2124528561)",PREVENT,ACCESS2,2836000,,Health Insurance
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010202,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.6,,,5.8,7.6,"6,137","(32.3844840557, -90.1837056957)",HLTHOUT,CHD,2836000,28049010202,Coronary Heart Disease
