StateAbbr,Year,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,Geolocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000200,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,9,5.3,14.2,,,"5,395",POINT (-90.1295873326 32.3604779334),HLTHOUT,TEETHLOST,2836000,28049000200,Teeth Loss
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000900,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,37.5,26.4,49.1,,,"2,015",POINT (-90.2098240871 32.3436482912),HLTHOUT,TEETHLOST,2836000,28049000900,Teeth Loss
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049010203,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,22.7,18.7,26.8,,,"2,892",POINT (-90.2193404986 32.3777863053),UNHBEH,CSMOKING,2836000,28049010203,Current Smoking
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002100,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.5,18.9,22,,,"3,257",POINT (-90.2240153221 32.3151937739),HLTHOUT,DIABETES,2836000,28049002100,Diabetes
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003700,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,76.9,73.6,79.7,,,"2,926",POINT (-90.2349934614 32.2505825226),PREVENT,MAMMOUSE,2836000,28049003700,Mammography
MS,2016,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003400,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.7,6.1,7.3,,,"3,832",POINT (-90.2219754256 32.2808856068),HLTHOUT,CHD,2836000,28049003400,Coronary Heart Disease
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003500,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,62.7,59.2,66.2,,,"3,931",POINT (-90.2228454457 32.2626920049),PREVENT,CHOLSCREEN,2836000,28049003500,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001900,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,55.1,53.7,56.5,,,"1,950",POINT (-90.1980304796 32.3199223985),HLTHOUT,BPHIGH,2836000,28049001900,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011101,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,77.9,76.6,79.1,,,"2,827",POINT (-90.2706288247 32.2470923241),PREVENT,BPMED,2836000,28049011101,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010301,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,39.9,38.3,41.5,,,"3,284",POINT (-90.261172434 32.3659087039),HLTHOUT,HIGHCHOL,2836000,28049010301,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010102,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,74,71.3,76.4,,,"5,673",POINT (-90.1326233954 32.3914073435),PREVENT,CHOLSCREEN,2836000,28049010102,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011400,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,41.5,39.6,43.3,,,"1,272",POINT (-90.1880062695 32.3113779365),HLTHOUT,HIGHCHOL,2836000,28049011400,High Cholesterol
