Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003700,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,41.4,40.1,42.8,,,"2,926","(32.2505825226, -90.2349934614)",HLTHOUT,BPHIGH,2836000,28049003700,High Blood Pressure
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000900,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.7,15.8,19.5,,,"2,015","(32.3436482912, -90.2098240871)",HLTHOUT,MHLTH,2836000,28049000900,Mental Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.5,68.4,70.6,,,"3,019","(32.245231086, -90.2219378426)",PREVENT,CHECKUP,2836000,28049003800,Annual Checkup
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002400,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,43.2,41.2,45.2,,,"4,565","(32.3034428694, -90.2303837936)",UNHBEH,SLEEP,2836000,28049002400,Sleep <7 hours
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000700,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.4,15.4,19.5,,,"5,710","(32.3422170976, -90.2571613241)",HLTHOUT,PHLTH,2836000,28049000700,Physical Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049001500,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20,19,21,,,"3,264","(32.3195456692, -90.1687404216)",UNHBEH,BINGE,2836000,28049001500,Binge Drinking
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002200,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,46,44.4,47.5,,,"2,450","(32.3230862923, -90.2352663163)",UNHBEH,SLEEP,2836000,28049002200,Sleep <7 hours
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010808,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,61.3,56.4,66,,,"4,494","(32.2679492554, -90.297683472)",PREVENT,DENTAL,2836000,28049010808,Dental Visit
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002000,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.7,6.9,8.4,,,"1,047","(32.3197192007, -90.2062608176)",HLTHOUT,STROKE,2836000,28049002000,Stroke
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010203,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7,6.3,7.8,,,"2,892","(32.3777863053, -90.2193404986)",HLTHOUT,CHD,2836000,28049010203,Coronary Heart Disease
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001600,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3,2.9,3.2,,,"3,886","(32.3149024406, -90.1794376322)",HLTHOUT,KIDNEY,2836000,28049001600,Chronic Kidney Disease
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010808,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,40.2,38.5,42,,,"4,494","(32.2679492554, -90.297683472)",HLTHOUT,BPHIGH,2836000,28049010808,High Blood Pressure
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003600,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,88.5,86.7,90.1,,,"3,952","(32.2631259622, -90.2457588861)",PREVENT,PAPTEST,2836000,28049003600,Pap Smear Test
