TractFIPS,Year,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
28049000100,2013,NA,NA,NA,36.1,81.6,NA,NA,NA,NA,78.4,NA,NA,NA,NA,NA,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000100,2014,10.7,25.8,15.1,NA,NA,7.6,7,5.9,76.4,NA,70.1,4.5,44.3,40.8,13.3,72.8,8.7,NA,2.6,19.4,76.4,8.7,26.7,88.2,8.6,31.8,2.7,9.7
28049000100,2015,10.1,23.8,13.7,35.2,80.4,7.7,7.2,5.3,78,82.4,NA,4.2,NA,NA,12.5,NA,8.6,34.1,2.5,25.1,NA,9.3,26.7,NA,9.3,NA,2.6,NA
28049000100,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,44.3,35.3,NA,75.4,NA,NA,NA,NA,76.6,NA,NA,89.1,NA,30,NA,9.3
28049000100,2017,11.9,23.1,15.7,33.8,79.2,7.8,8.4,5.6,70.1,85.5,NA,4.9,NA,NA,13.2,NA,8.9,35.4,2.7,23,NA,10.3,25.9,NA,10.3,NA,2.8,NA
28049000200,2013,NA,NA,NA,35.9,80.8,NA,NA,NA,NA,76.2,NA,NA,NA,NA,NA,NA,NA,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000200,2014,10.8,25.2,15.1,NA,NA,7.1,7.1,5.8,75.3,NA,68.1,4.6,44.1,39.2,13.6,71.9,8.5,NA,2.5,19.3,75.4,9.1,27,87.1,8.8,31.6,2.6,9.9
28049000200,2015,9.9,23.2,13.8,34,79.3,7.3,7.3,5.3,77,81.5,NA,4.3,NA,NA,12.6,NA,8.3,33.9,2.5,24.7,NA,9.5,26.8,NA,9.4,NA,2.5,NA
28049000200,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9,NA,44.4,35.1,NA,75.7,NA,NA,NA,NA,76.8,NA,NA,89,NA,29.9,NA,9
28049000200,2017,9.7,21.3,17.1,30.6,77.5,7.4,8.1,4.7,69.2,86,NA,4,NA,NA,11.5,NA,7.6,33.8,2.4,19.8,NA,9.5,24.2,NA,8.9,NA,2.3,NA
28049000301,2013,NA,NA,NA,41.2,74.4,NA,NA,NA,NA,59.5,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000301,2014,33.4,22.7,11.3,NA,NA,3.2,11.7,4.4,74.1,NA,48.1,6.8,29.9,23.6,30,38.1,12.2,NA,2.9,36.5,70.7,18.6,45.3,76.7,15.7,48.8,3.7,29.2
28049000301,2015,28.8,20.5,10.3,39.9,71.9,3.3,11.3,4.4,77.2,63,NA,6.2,NA,NA,28.6,NA,12.3,29.5,2.9,41.1,NA,18.5,43.5,NA,16,NA,3.7,NA
28049000301,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,27.2,21.3,NA,44.4,NA,NA,NA,NA,79.7,NA,NA,88.2,NA,44.6,NA,28.7
28049000301,2017,23.8,18.3,12.6,37.6,71.2,3.4,12.1,4.2,71,76.2,NA,5.8,NA,NA,25.4,NA,11.4,27.9,3.1,36.6,NA,18.5,41.6,NA,14.6,NA,3.4,NA
28049000302,2013,NA,NA,NA,39,76.2,NA,NA,NA,NA,67.8,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000302,2014,23.8,22.3,12.8,NA,NA,4,9.8,4.4,76.7,NA,58.1,5.2,34.7,30.1,22.9,50.1,11.6,NA,2.7,29.4,75.7,14,40.1,83.7,12,45.4,3.3,21.2
28049000302,2015,22.2,20.8,11.2,40.2,75.1,4.1,10,4.6,78.9,69.5,NA,5.1,NA,NA,22.5,NA,12.2,30.1,2.8,36,NA,14.9,40.2,NA,13.3,NA,3.5,NA
28049000302,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,NA,33.1,26.2,NA,56.2,NA,NA,NA,NA,80.6,NA,NA,89.6,NA,41.4,NA,20
