TractFIPS,HOLC_Grade,HOLC_Pct,Year,MeasureId,Short_Question_Text,Measure,Data_Value
28049002000,No grade,NA,2014,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years,4.9
28049011101,No grade,NA,2014,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years,75.9
28049003500,No grade,NA,2014,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years,19
28049011400,No grade,NA,2014,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years,35.2
28049011400,D,78.1,2014,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years,35.2
28049002100,No grade,NA,2014,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years,73.7
28049002100,No grade,NA,2014,STROKE,Stroke,Stroke among adults aged >=18 Years,6.6
28049010202,No grade,NA,2013,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,77.7
28049000301,No grade,NA,2014,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years,11.3
28049000500,No grade,NA,2014,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years,19.2
28049011400,No grade,NA,2013,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,71.6
28049011400,D,78.1,2013,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,71.6
28049003200,No grade,NA,2014,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",24.7
28049003200,D,34.52,2014,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",24.7
28049000100,No grade,NA,2014,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years,7.6
28049010101,No grade,NA,2014,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years,12.3
28049002500,No grade,NA,2014,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years,27.8
28049002500,B,53.06,2014,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years,27.8
28049001900,C,41.85,2014,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years,11.7
28049001900,D,56.53,2014,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years,11.7
28049010201,No grade,NA,2014,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years,48.3
28049001600,B,57.35,2013,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.6
28049001600,No grade,NA,2013,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.6
28049000500,No grade,NA,2013,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,50.6
28049010808,No grade,NA,2014,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",34.1
28049010901,No grade,NA,2014,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years,44.5
28049003300,No grade,NA,2014,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years,31.5
